sid,2019,2020,2021,2022,2023,2024,2025,2026
nep.fu.11,3113,3347,3852,3752,3688,4107,3691,5971
nep.fu.12,5597,7134,5772,3890,5103,4557,5419,9603
nep.fu.13,5566,5861,5132,4011,4311,4310,4219,5148
nep.fu.14,922,779,991,785,735,210,279,304
nep.fu.15,11107,10377,9919,9924,9271,10045,8658,6493
nep.fu.16,2645,2637,3290,2804,3787,4560,3488,2169
nep.fu.19,173,839,439,286,230,170,296,357
nep.fu.2021,5320,1150,1430,1703,1620,1728,1990,3171
nep.fu.22,2084,2820,1371,1083,2248,1695,1348,2252
alb-n,3360,33600,37801,37801,37801,47251,47251,47251
whb.27.1-91214,1143629,1161615,1157604,752736,1359629,1529754,1447054,851344
boc.27.6-8,21830,19152,19152,22791,22791,27349,38295,29720
hom.27.2a3a4a5b6a7a-ce-k8,145237,83954,81376,71138,15513,0,75545,74214
mac.27.nea,770358,922064,852284,794920,782066,739386,576958,400000
anf.27.3a46,31690,22056,17645,14116,9881,9881,30726,30358
hke.27.3a46-8abd,142240,104763,102888,75052,83130,72839,52466,54912
whg.27.7b-ce-k,19795,6481,5261,4452,1715,4809,4810,2310
whg.27.47d,0,21841,21806,82089,121158,128290,188149,198609
ank.27.78abd,10799,12958,15551,18661,23436,25579,25317,22390
mon.27.78abd,31042,31798,34579,34275,34540,35502,34983,36090
meg.27.7b-k8abd,18976,19982,19184,22964,23596,23303,21144,14869
meg.27.8c9a,0,0,0,867,867,867,867,694
